areacd,areanm,period,value,lci_95,uci_95
K02000001,United Kingdom,2022-01-01/P1Y,21.7,21.4,22
K02000001,United Kingdom,2023-01-01/P1Y,21.3,21,21.6
N92000002,Northern Ireland,2004-01-01/P1Y,30.3,29,31.6
N92000002,Northern Ireland,2005-01-01/P1Y,29.8,28.5,31.1
N92000002,Northern Ireland,2006-01-01/P1Y,29.6,28.3,30.900000000000002
N92000002,Northern Ireland,2007-01-01/P1Y,28.5,27.2,29.8
N92000002,Northern Ireland,2008-01-01/P1Y,29.2,27.9,30.5
N92000002,Northern Ireland,2009-01-01/P1Y,30.1,28.8,31.400000000000002
N92000002,Northern Ireland,2010-01-01/P1Y,29.1,27.700000000000003,30.5
N92000002,Northern Ireland,2011-01-01/P1Y,27.6,26.3,28.900000000000002
N92000002,Northern Ireland,2012-01-01/P1Y,27.6,26.3,28.900000000000002
N92000002,Northern Ireland,2013-01-01/P1Y,27.5,26.1,28.9
N92000002,Northern Ireland,2014-01-01/P1Y,27.6,26.200000000000003,29
N92000002,Northern Ireland,2015-01-01/P1Y,27.1,25.700000000000003,28.5
N92000002,Northern Ireland,2016-01-01/P1Y,26,24.6,27.4
N92000002,Northern Ireland,2017-01-01/P1Y,27.6,26.200000000000003,29
N92000002,Northern Ireland,2018-01-01/P1Y,27.2,25.9,28.5
N92000002,Northern Ireland,2019-01-01/P1Y,26.2,25.099999999999998,27.3
N92000002,Northern Ireland,2020-01-01/P1Y,28,26.7,29.3
N92000002,Northern Ireland,2021-01-01/P1Y,27,25.8,28.2
N92000002,Northern Ireland,2022-01-01/P1Y,26.3,25.2,27.400000000000002
N92000002,Northern Ireland,2023-01-01/P1Y,24.7,23.599999999999998,25.8
S92000003,Scotland,2004-01-01/P1Y,23.3,22.8,23.8
S92000003,Scotland,2005-01-01/P1Y,22.9,22.5,23.299999999999997
S92000003,Scotland,2006-01-01/P1Y,22.2,21.8,22.599999999999998
S92000003,Scotland,2007-01-01/P1Y,22.4,21.9,22.9
S92000003,Scotland,2008-01-01/P1Y,22.6,22.1,23.1
S92000003,Scotland,2009-01-01/P1Y,22.6,22.1,23.1
S92000003,Scotland,2010-01-01/P1Y,23,22.5,23.5
S92000003,Scotland,2011-01-01/P1Y,23.1,22.6,23.6
S92000003,Scotland,2012-01-01/P1Y,23.2,22.7,23.7
S92000003,Scotland,2013-01-01/P1Y,23.1,22.6,23.6
S92000003,Scotland,2014-01-01/P1Y,22.5,22,23
S92000003,Scotland,2015-01-01/P1Y,22.3,21.8,22.8
S92000003,Scotland,2016-01-01/P1Y,23.3,22.7,23.900000000000002
S92000003,Scotland,2017-01-01/P1Y,22.6,22,23.200000000000003
S92000003,Scotland,2018-01-01/P1Y,22.6,22,23.200000000000003
S92000003,Scotland,2019-01-01/P1Y,22.5,21.9,23.1
S92000003,Scotland,2020-01-01/P1Y,23.2,22.5,23.9
S92000003,Scotland,2021-01-01/P1Y,23.8,23,24.6
S92000003,Scotland,2022-01-01/P1Y,22.9,22.099999999999998,23.7
S92000003,Scotland,2023-01-01/P1Y,22.5,21.6,23.4
W92000004,Wales,2004-01-01/P1Y,27.3,26.8,27.8
W92000004,Wales,2005-01-01/P1Y,27,26.5,27.5
W92000004,Wales,2006-01-01/P1Y,26.9,26.299999999999997,27.5
W92000004,Wales,2007-01-01/P1Y,26.7,26.099999999999998,27.3
W92000004,Wales,2008-01-01/P1Y,26.6,26,27.200000000000003
W92000004,Wales,2009-01-01/P1Y,27.1,26.5,27.700000000000003
W92000004,Wales,2010-01-01/P1Y,27.3,26.7,27.900000000000002
W92000004,Wales,2011-01-01/P1Y,27,26.4,27.6
W92000004,Wales,2012-01-01/P1Y,26.4,25.799999999999997,27
W92000004,Wales,2013-01-01/P1Y,25,24.4,25.6
W92000004,Wales,2014-01-01/P1Y,25.3,24.7,25.900000000000002
W92000004,Wales,2015-01-01/P1Y,25.1,24.5,25.700000000000003
W92000004,Wales,2016-01-01/P1Y,25.2,24.599999999999998,25.8
W92000004,Wales,2017-01-01/P1Y,23.9,23.299999999999997,24.5
W92000004,Wales,2018-01-01/P1Y,23.3,22.7,23.900000000000002
W92000004,Wales,2019-01-01/P1Y,23.6,23,24.200000000000003
W92000004,Wales,2020-01-01/P1Y,24.4,23.599999999999998,25.2
W92000004,Wales,2021-01-01/P1Y,23.7,22.9,24.5
W92000004,Wales,2022-01-01/P1Y,24.4,23.599999999999998,25.2
W92000004,Wales,2023-01-01/P1Y,23,22,24
